sku_id,title,description,availability,condition,price,link,image_link,brand,gender,age_group,gtin,additional_image_link
EDN,EDN,Aprendé de Referentes y Conectá con Líderes que Marcan la Diferencia Profesional.,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/EDN/,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/EDN/edn_1080x1080-01%20(4).png,UdeSA,unisex,adult,,
EMBA,Executive MBA,Desarrollá tu visión integral de negocios y fortalecé tus habilidades en liderazgo.,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/EMBA_B/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/EMBA/emba_1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/EMBA/emba_1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/EMBA/emba_1200x628-01.png"
REMBA,Executive MBA Regional,Desarrollá tu visión integral de negocios y fortalecé tus habilidades en liderazgo.,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/EMBA_B/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/EMBAR/emba-regional-1080x1080-01.png,UdeSA,unisex,adult,,
MBAO,MBA,Desarrollá tu visión integral de negocios y fortalecé tus habilidades en liderazgo.,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MBAO/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBA%20Online/MBA%20-%201080%20x%201080.jpeg,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBA%20Online/mba-online_1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBA%20Online/mba-online_1200x628-01.png"
MBAS,MBA Salud,Aprendé a gestionar salud pública y privada con mirada global.,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MBAS/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBAS/mba-salud-1080x1080-01.png,UdeSA,unisex,adult,,
MIM,Master in Management,"Integra estrategia, finanzas, datos y diseño con visión global y enfoque en resultados.",in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MIB/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MIM/MiM-1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MIM/MiM-1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MIM/MiM-1200x628-01.png"
MKT,Maestría en Marketing y Comunicación,"Formate en estrategia, branding, creatividad y comunicación.",in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MKT/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MKT/mkt_1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MKT/mkt_1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MKT/mkt_1200x628-01.png"
MND,Maestría en Negocios Digitales,"Formate en negocios digitales con foco en IA, automatización y estrategia aplicada.",in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MND/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MND/mnd_1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MND/mnd_1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MND/mnd_1200x628-01.png"
RRHH,Maestría en Recursos Humanos,Formate en gestión estratégica e integral de recursos humanos.,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/RRHH_B/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/RRHH/rrhh_1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/RRHH/rrhh_1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/RRHH/rrhh_1200x628-01.png"
FL,"Master in Corporate Governance, Finance & Law","Aprendé a estructurar negocios complejos con mirada legal, financiera y ESG.",in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/FL/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/FL/V01-MCGFL-1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/FL/V01-MCGFL-1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/FL/V01-MCGFL-1200x628-01.png"
FIN,Maestría en Finanzas,"Formate en Mercado de Capitales, Administración de Riesgos, Finanzas Corporativas y más.",in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/Finanzas/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/Finanzas/finanzas_1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/Finanzas/finanzas_1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/Finanzas/finanzas_1200x628-01.png"
MBT,Master in Business & Technology,"Formación en Management, economía digital e innovación para liderar el cambio.",in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MBT/dual.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBT/mbt_1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBT/mbt_1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/MBT/mbt_1200x628-01.png"
